container_chain,member_chain,depth,parent_narc_path,parent_file_id,member_index,name,container_relative_offset,container_relative_end,gmif_relative_offset,gmif_relative_end,size,sha256,signature_hex,extension,probable_format,format_evidence,structure_valid,compressed,compression,compression_evidence,decompression_supported,declared_decompressed_size,decompression_valid,decompressed_size,decompressed_sha256,decompressed_format,decompressed_format_evidence,nested_container,nested_after_decompression
/poketool/pokegra/pokegra.narc,/poketool/pokegra/pokegra.narc!/member_00883,0,/poketool/pokegra/pokegra.narc,412,883,,3546196,3552644,3522432,3528880,6448,58e4e0999c3c223bc411def0f61ea13a6425fa97530601acf5f9a97b2b60c049,5247434efffe00013019000010000100,,NCGR graphics,Confirmed,True,False,,,,,,,,,,False,False
/poketool/pokegra/pokegra.narc,/poketool/pokegra/pokegra.narc!/member_00884,0,/poketool/pokegra/pokegra.narc,412,884,,3552644,3559092,3528880,3535328,6448,d4f631c3497193daa6db68e59a290fd307c2f5820249826cb7c21b7a8c08a6b2,5247434efffe00013019000010000100,,NCGR graphics,Confirmed,True,False,,,,,,,,,,False,False
/poketool/pokegra/pokegra.narc,/poketool/pokegra/pokegra.narc!/member_00885,0,/poketool/pokegra/pokegra.narc,412,885,,3559092,3565540,3535328,3541776,6448,d4f631c3497193daa6db68e59a290fd307c2f5820249826cb7c21b7a8c08a6b2,5247434efffe00013019000010000100,,NCGR graphics,Confirmed,True,False,,,,,,,,,,False,False
/poketool/pokegra/pokegra.narc,/poketool/pokegra/pokegra.narc!/member_00886,0,/poketool/pokegra/pokegra.narc,412,886,,3565540,3565612,3541776,3541848,72,9b0e9c5b8fde7b04c92370bd823a0ffad24ae6b803fbdcc2811c91d38226d31c,524c434efffe00014800000010000100,,NCLR palette,Confirmed,True,False,,,,,,,,,,False,False
/poketool/pokegra/pokegra.narc,/poketool/pokegra/pokegra.narc!/member_00887,0,/poketool/pokegra/pokegra.narc,412,887,,3565612,3565684,3541848,3541920,72,e63824ee315e8d30b7177b18c0b72a5654cd11b48c8f51eba7ef25ef9b17d143,524c434efffe00014800000010000100,,NCLR palette,Confirmed,True,False,,,,,,,,,,False,False
/poketool/pokegra/pokegra.narc,/poketool/pokegra/pokegra.narc!/member_00888,0,/poketool/pokegra/pokegra.narc,412,888,,3565684,3572132,3541920,3548368,6448,fee27b2aadbe61211b2590b589c84781a56280e24142a44a9b9df4f0226ab0b5,5247434efffe00013019000010000100,,NCGR graphics,Confirmed,True,False,,,,,,,,,,False,False
/poketool/pokegra/pokegra.narc,/poketool/pokegra/pokegra.narc!/member_00889,0,/poketool/pokegra/pokegra.narc,412,889,,3572132,3578580,3548368,3554816,6448,fee27b2aadbe61211b2590b589c84781a56280e24142a44a9b9df4f0226ab0b5,5247434efffe00013019000010000100,,NCGR graphics,Confirmed,True,False,,,,,,,,,,False,False
/poketool/pokegra/pokegra.narc,/poketool/pokegra/pokegra.narc!/member_00890,0,/poketool/pokegra/pokegra.narc,412,890,,3578580,3585028,3554816,3561264,6448,68fea4e662e446c914d59c69b295eb66c94c19904570bc0b5b12026bbecd10cd,5247434efffe00013019000010000100,,NCGR graphics,Confirmed,True,False,,,,,,,,,,False,False
/poketool/pokegra/pokegra.narc,/poketool/pokegra/pokegra.narc!/member_00891,0,/poketool/pokegra/pokegra.narc,412,891,,3585028,3591476,3561264,3567712,6448,68fea4e662e446c914d59c69b295eb66c94c19904570bc0b5b12026bbecd10cd,5247434efffe00013019000010000100,,NCGR graphics,Confirmed,True,False,,,,,,,,,,False,False
/poketool/pokegra/pokegra.narc,/poketool/pokegra/pokegra.narc!/member_00892,0,/poketool/pokegra/pokegra.narc,412,892,,3591476,3591548,3567712,3567784,72,3d3f7d4bfc703699439ec9d39eb08c8598ac6f77b40c1b33fd08ebc7ccf75b8d,524c434efffe00014800000010000100,,NCLR palette,Confirmed,True,False,,,,,,,,,,False,False
