container_chain,member_chain,depth,parent_narc_path,parent_file_id,member_index,name,container_relative_offset,container_relative_end,gmif_relative_offset,gmif_relative_end,size,sha256,signature_hex,extension,probable_format,format_evidence,structure_valid,compressed,compression,compression_evidence,decompression_supported,declared_decompressed_size,decompression_valid,decompressed_size,decompressed_sha256,decompressed_format,decompressed_format_evidence,nested_container,nested_after_decompression
/application/balloon/graphic/balloon_gra.narc,/application/balloon/graphic/balloon_gra.narc!/member_00000,0,/application/balloon/graphic/balloon_gra.narc,122,0,,524,8780,0,8256,8256,cc59d77a64d98816698ebe5f1ae26215c4871ee2ffd673f89ea22f193fd4f74b,5247434efffe01014020000010000200,,NCGR graphics,Confirmed,True,False,,,,,,,,,,False,False
/application/balloon/graphic/balloon_gra.narc,/application/balloon/graphic/balloon_gra.narc!/member_00001,0,/application/balloon/graphic/balloon_gra.narc,122,1,,8780,10352,8256,9828,1572,c607e7ba97e99356e76a9d793614d4840b425ec8c856fa87e6f2590b194d1301,5243534efffe00012406000010000100,,NSCR screen map,Confirmed,True,False,,,,,,,,,,False,False
/application/balloon/graphic/balloon_gra.narc,/application/balloon/graphic/balloon_gra.narc!/member_00002,0,/application/balloon/graphic/balloon_gra.narc,122,2,,10352,34992,9828,34468,24640,ce8d1349d0e0297a339673495d27a01925903d8523346fc3455c0d5515c47fff,5247434efffe01014060000010000200,,NCGR graphics,Confirmed,True,False,,,,,,,,,,False,False
/application/balloon/graphic/balloon_gra.narc,/application/balloon/graphic/balloon_gra.narc!/member_00003,0,/application/balloon/graphic/balloon_gra.narc,122,3,,34992,36564,34468,36040,1572,19a841fffb546c859195bc172f4959f7f1a72729bef332aeff38b681c64f1092,5243534efffe00012406000010000100,,NSCR screen map,Confirmed,True,False,,,,,,,,,,False,False
/application/balloon/graphic/balloon_gra.narc,/application/balloon/graphic/balloon_gra.narc!/member_00004,0,/application/balloon/graphic/balloon_gra.narc,122,4,,36564,37116,36040,36592,552,02501eae9376e8275c0c2ae3bee3f4a1c21ea9fae18b2cfb57b8bd9930301b0c,524c434efffe00012802000010000100,,NCLR palette,Confirmed,True,False,,,,,,,,,,False,False
/application/balloon/graphic/balloon_gra.narc,/application/balloon/graphic/balloon_gra.narc!/member_00005,0,/application/balloon/graphic/balloon_gra.narc,122,5,,37116,37668,36592,37144,552,e9d555b7543dd6fef0fe39d652769270b99a2bd14a7a3bcef2e5c016f4b1c197,524c434efffe00012802000010000100,,NCLR palette,Confirmed,True,False,,,,,,,,,,False,False
/application/balloon/graphic/balloon_gra.narc,/application/balloon/graphic/balloon_gra.narc!/member_00006,0,/application/balloon/graphic/balloon_gra.narc,122,6,,37668,45900,37144,45376,8232,a036ae5385dfcecfcc690769952564031e0f53ae1e83f71b11917c026f7d5bfb,524c434efffe00012820000010000100,,NCLR palette,Confirmed,True,False,,,,,,,,,,False,False
/application/balloon/graphic/balloon_gra.narc,/application/balloon/graphic/balloon_gra.narc!/member_00007,0,/application/balloon/graphic/balloon_gra.narc,122,7,,45900,78732,45376,78208,32832,84b54bd3af0c9c672b1522380aa4a3f6b808786d111393bd83e82bab07c5b4b2,5247434efffe01014080000010000200,,NCGR graphics,Confirmed,True,False,,,,,,,,,,False,False
/application/balloon/graphic/balloon_gra.narc,/application/balloon/graphic/balloon_gra.narc!/member_00008,0,/application/balloon/graphic/balloon_gra.narc,122,8,,78732,79792,78208,79268,1060,c298ce0d785a7ed15e1a8eb9b7ef06e163f4e474b3563691ee6bfd0680e79ca9,5243534efffe00012404000010000100,,NSCR screen map,Confirmed,True,False,,,,,,,,,,False,False
/application/balloon/graphic/balloon_gra.narc,/application/balloon/graphic/balloon_gra.narc!/member_00009,0,/application/balloon/graphic/balloon_gra.narc,122,9,,79792,112624,79268,112100,32832,e9fe7594d6f4651ac2caa2ed83633269677f2e10365ce00e950c8ed4d4e9820a,5247434efffe01014080000010000200,,NCGR graphics,Confirmed,True,False,,,,,,,,,,False,False
/application/balloon/graphic/balloon_gra.narc,/application/balloon/graphic/balloon_gra.narc!/member_00010,0,/application/balloon/graphic/balloon_gra.narc,122,10,,112624,113684,112100,113160,1060,57d5adf28f7e2e2201e5205ae530cfc8a516f23748f43d0a3a00241295b0bd06,5243534efffe00012404000010000100,,NSCR screen map,Confirmed,True,False,,,,,,,,,,False,False
/application/balloon/graphic/balloon_gra.narc,/application/balloon/graphic/balloon_gra.narc!/member_00011,0,/application/balloon/graphic/balloon_gra.narc,122,11,,113684,146516,113160,145992,32832,755c6a8e04429330d88bbd09d54275f4b9b4744f7860f6c12e845d706407ffb4,5247434efffe01014080000010000200,,NCGR graphics,Confirmed,True,False,,,,,,,,,,False,False
/application/balloon/graphic/balloon_gra.narc,/application/balloon/graphic/balloon_gra.narc!/member_00012,0,/application/balloon/graphic/balloon_gra.narc,122,12,,146516,147576,145992,147052,1060,15cfb434c9e18c6019521a282992092f7c9fdc47c5f036ee27aa108451fd493d,5243534efffe00012404000010000100,,NSCR screen map,Confirmed,True,False,,,,,,,,,,False,False
/application/balloon/graphic/balloon_gra.narc,/application/balloon/graphic/balloon_gra.narc!/member_00013,0,/application/balloon/graphic/balloon_gra.narc,122,13,,147576,164024,147052,163500,16448,3ab24fe3fcb9604f178da7fe5bad1cd8cd8c32d5dbed41ea7c7f682f0f16116c,5247434efffe01014040000010000200,,NCGR graphics,Confirmed,True,False,,,,,,,,,,False,False
/application/balloon/graphic/balloon_gra.narc,/application/balloon/graphic/balloon_gra.narc!/member_00014,0,/application/balloon/graphic/balloon_gra.narc,122,14,,164024,165596,163500,165072,1572,c8dbee3b8a7f26f6f782f97249735b0727c94b7da69afa71d1c68fbd4154f9ed,5243534efffe00012406000010000100,,NSCR screen map,Confirmed,True,False,,,,,,,,,,False,False
/application/balloon/graphic/balloon_gra.narc,/application/balloon/graphic/balloon_gra.narc!/member_00015,0,/application/balloon/graphic/balloon_gra.narc,122,15,,165596,167168,165072,166644,1572,5903887f76a621d008645982fcaebf2530d79107c9996bc14b6761dc67c7d379,5243534efffe00012406000010000100,,NSCR screen map,Confirmed,True,False,,,,,,,,,,False,False
/application/balloon/graphic/balloon_gra.narc,/application/balloon/graphic/balloon_gra.narc!/member_00016,0,/application/balloon/graphic/balloon_gra.narc,122,16,,167168,168740,166644,168216,1572,6c015c48fce11a24601270ec21f422f8704d316fe751ae0a5de651611db4514a,5243534efffe00012406000010000100,,NSCR screen map,Confirmed,True,False,,,,,,,,,,False,False
/application/balloon/graphic/balloon_gra.narc,/application/balloon/graphic/balloon_gra.narc!/member_00017,0,/application/balloon/graphic/balloon_gra.narc,122,17,,168740,170312,168216,169788,1572,f2bff1f7768d809871fb93ca5e9bdb204de6e56babc67058a034aa1a1ffa6b09,5243534efffe00012406000010000100,,NSCR screen map,Confirmed,True,False,,,,,,,,,,False,False
/application/balloon/graphic/balloon_gra.narc,/application/balloon/graphic/balloon_gra.narc!/member_00018,0,/application/balloon/graphic/balloon_gra.narc,122,18,,170312,174472,169788,173948,4160,258d7875ed1eb0114a88fc4dea32975d160a6a6ae0b6f91f6bb1b8b785b6730f,5247434efffe01014010000010000200,,NCGR graphics,Confirmed,True,False,,,,,,,,,,False,False
/application/balloon/graphic/balloon_gra.narc,/application/balloon/graphic/balloon_gra.narc!/member_00019,0,/application/balloon/graphic/balloon_gra.narc,122,19,,174472,176044,173948,175520,1572,89fc897838e219f49be8a6fdc52dc86f357c9fe7900e9542720dd3c77ab77871,5243534efffe00012406000010000100,,NSCR screen map,Confirmed,True,False,,,,,,,,,,False,False
/application/balloon/graphic/balloon_gra.narc,/application/balloon/graphic/balloon_gra.narc!/member_00020,0,/application/balloon/graphic/balloon_gra.narc,122,20,,176044,185916,175520,185392,9872,a1ba1f20af9b80ecd531d545a5563d1c9fb7cd8910fb4dfeb54124f4e05cd82a,5247434efffe01019026000010000100,,NCGR graphics,Confirmed,True,False,,,,,,,,,,False,False
/application/balloon/graphic/balloon_gra.narc,/application/balloon/graphic/balloon_gra.narc!/member_00021,0,/application/balloon/graphic/balloon_gra.narc,122,21,,185916,187971,185392,187447,2055,b4406cde8323c7e34bc8412c8ac75d72cee747306fb90f82f4be4c841ca4b63e,524e414efffe00010708000010000300,,NANR animation,Confirmed,True,False,,,,,,,,,,False,False
/application/balloon/graphic/balloon_gra.narc,/application/balloon/graphic/balloon_gra.narc!/member_00022,0,/application/balloon/graphic/balloon_gra.narc,122,22,,187972,189891,187448,189367,1919,54fd8d6973d28c013392258118fb9bd8ccdffa679a9cde90aff7b2fc38f78ecd,5245434efffe00017f07000010000300,,NCER cell,Confirmed,True,False,,,,,,,,,,False,False
/application/balloon/graphic/balloon_gra.narc,/application/balloon/graphic/balloon_gra.narc!/member_00023,0,/application/balloon/graphic/balloon_gra.narc,122,23,,189892,190444,189368,189920,552,4140255a75b26917d1460035c2b58ef3f6349304ea0e475544ffd2181c5726d9,524c434efffe00012802000010000100,,NCLR palette,Confirmed,True,False,,,,,,,,,,False,False
/application/balloon/graphic/balloon_gra.narc,/application/balloon/graphic/balloon_gra.narc!/member_00024,0,/application/balloon/graphic/balloon_gra.narc,122,24,,190444,191772,189920,191248,1328,cf2c5515f1ad9b1cf2ea9e483d68518fe923a61b91e3ac4966e589593d4d9982,5247434efffe01013005000010000100,,NCGR graphics,Confirmed,True,False,,,,,,,,,,False,False
/application/balloon/graphic/balloon_gra.narc,/application/balloon/graphic/balloon_gra.narc!/member_00025,0,/application/balloon/graphic/balloon_gra.narc,122,25,,191772,191882,191248,191358,110,6a551792bace0e6dc107bfc7b3e2141d1e7fd85750060e8c23cf96930aefd4b5,524e414efffe00016e00000010000300,,NANR animation,Confirmed,True,False,,,,,,,,,,False,False
