container_chain,member_chain,depth,parent_narc_path,parent_file_id,member_index,name,container_relative_offset,container_relative_end,gmif_relative_offset,gmif_relative_end,size,sha256,signature_hex,extension,probable_format,format_evidence,structure_valid,compressed,compression,compression_evidence,decompression_supported,declared_decompressed_size,decompression_valid,decompressed_size,decompressed_sha256,decompressed_format,decompressed_format_evidence,nested_container,nested_after_decompression
/application/zukanlist/zkn_data/zukan_enc_pearl.narc,/application/zukanlist/zkn_data/zukan_enc_pearl.narc!/member_02521,0,/application/zukanlist/zkn_data/zukan_enc_pearl.narc,132,2521,,54620,54624,14936,14940,4,df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119,00000000,,,,,False,,,,,,,,,,False,False
/application/zukanlist/zkn_data/zukan_enc_pearl.narc,/application/zukanlist/zkn_data/zukan_enc_pearl.narc!/member_02522,0,/application/zukanlist/zkn_data/zukan_enc_pearl.narc,132,2522,,54624,54636,14940,14952,12,412fee03734b70c2e5c53832edafd1418668096d2063c8ac0bd472aa260c269e,2a0000003100000000000000,,,,,False,,,,,,,,,,False,False
/application/zukanlist/zkn_data/zukan_enc_pearl.narc,/application/zukanlist/zkn_data/zukan_enc_pearl.narc!/member_02523,0,/application/zukanlist/zkn_data/zukan_enc_pearl.narc,132,2523,,54636,54652,14952,14968,16,a1267a6bc81318299e14eee627f545bf26042cc6735859c3e7456ea43a8cd0dc,260000002a0000003100000000000000,,,,,False,,,,,,,,,,False,False
/application/zukanlist/zkn_data/zukan_enc_pearl.narc,/application/zukanlist/zkn_data/zukan_enc_pearl.narc!/member_02524,0,/application/zukanlist/zkn_data/zukan_enc_pearl.narc,132,2524,,54652,54656,14968,14972,4,df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119,00000000,,,,,False,,,,,,,,,,False,False
/application/zukanlist/zkn_data/zukan_enc_pearl.narc,/application/zukanlist/zkn_data/zukan_enc_pearl.narc!/member_02525,0,/application/zukanlist/zkn_data/zukan_enc_pearl.narc,132,2525,,54656,54660,14972,14976,4,df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119,00000000,,,,,False,,,,,,,,,,False,False
/application/zukanlist/zkn_data/zukan_enc_pearl.narc,/application/zukanlist/zkn_data/zukan_enc_pearl.narc!/member_02526,0,/application/zukanlist/zkn_data/zukan_enc_pearl.narc,132,2526,,54660,54664,14976,14980,4,df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119,00000000,,,,,False,,,,,,,,,,False,False
/application/zukanlist/zkn_data/zukan_enc_pearl.narc,/application/zukanlist/zkn_data/zukan_enc_pearl.narc!/member_02527,0,/application/zukanlist/zkn_data/zukan_enc_pearl.narc,132,2527,,54664,54668,14980,14984,4,df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119,00000000,,,,,False,,,,,,,,,,False,False
/application/zukanlist/zkn_data/zukan_enc_pearl.narc,/application/zukanlist/zkn_data/zukan_enc_pearl.narc!/member_02528,0,/application/zukanlist/zkn_data/zukan_enc_pearl.narc,132,2528,,54668,54672,14984,14988,4,df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119,00000000,,,,,False,,,,,,,,,,False,False
/application/zukanlist/zkn_data/zukan_enc_pearl.narc,/application/zukanlist/zkn_data/zukan_enc_pearl.narc!/member_02529,0,/application/zukanlist/zkn_data/zukan_enc_pearl.narc,132,2529,,54672,54680,14988,14996,8,b8282e78d87c2a42f7c0f5b543c0d7760d3fe5a3860a25c20ec57ddaa4d80b81,2900000000000000,,,,,False,,,,,,,,,,False,False
/application/zukanlist/zkn_data/zukan_enc_pearl.narc,/application/zukanlist/zkn_data/zukan_enc_pearl.narc!/member_02530,0,/application/zukanlist/zkn_data/zukan_enc_pearl.narc,132,2530,,54680,54688,14996,15004,8,b8282e78d87c2a42f7c0f5b543c0d7760d3fe5a3860a25c20ec57ddaa4d80b81,2900000000000000,,,,,False,,,,,,,,,,False,False
