container_chain,member_chain,depth,parent_narc_path,parent_file_id,member_index,name,container_relative_offset,container_relative_end,gmif_relative_offset,gmif_relative_end,size,sha256,signature_hex,extension,probable_format,format_evidence,structure_valid,compressed,compression,compression_evidence,decompression_supported,declared_decompressed_size,decompression_valid,decompressed_size,decompressed_sha256,decompressed_format,decompressed_format_evidence,nested_container,nested_after_decompression
/resource/kor/battle_graphic/batt_obj.narc,/resource/kor/battle_graphic/batt_obj.narc!/member_00171,0,/resource/kor/battle_graphic/batt_obj.narc,426,171,,56768,56928,54484,54644,160,cd2ee6c06b9bcbac3d8df5d598a579369dd1efcb593201251623d974ed46175f,10300100005247434efffe0101003001,,Nintendo LZ10,Probable,,True,Nintendo LZ10,Confirmed,True,304,True,304,b86c41a69cfd570428861317a90b2a41b9bceca09421d8937218689352eff611,NCGR graphics,Confirmed,False,False
/resource/kor/battle_graphic/batt_obj.narc,/resource/kor/battle_graphic/batt_obj.narc!/member_00172,0,/resource/kor/battle_graphic/batt_obj.narc,426,172,,56928,57100,54644,54816,172,3147326e8e414f2471842326b368441a5486be10987a1f79cdedd5a641983354,10300100005247434efffe0101003001,,Nintendo LZ10,Probable,,True,Nintendo LZ10,Confirmed,True,304,True,304,d70e1c897fef272d226ce3c3545d295c50cd84dd1bbcfbc89e8ee717319bd6f5,NCGR graphics,Confirmed,False,False
/resource/kor/battle_graphic/batt_obj.narc,/resource/kor/battle_graphic/batt_obj.narc!/member_00173,0,/resource/kor/battle_graphic/batt_obj.narc,426,173,,57100,57284,54816,55000,184,e441d8c6e5596377a8022d09c837576e64093f622c4c5e4e6920485092fc3443,10300100005247434efffe0101003001,,Nintendo LZ10,Probable,,True,Nintendo LZ10,Confirmed,True,304,True,304,150bb934e281cd4b1e936c55417520ae140e9322c755b6c374c7128798d23fc1,NCGR graphics,Confirmed,False,False
/resource/kor/battle_graphic/batt_obj.narc,/resource/kor/battle_graphic/batt_obj.narc!/member_00174,0,/resource/kor/battle_graphic/batt_obj.narc,426,174,,57284,57496,55000,55212,212,15b3284f97365da2eb33a8e2e35240a83b8e2cd1566e08737c79f68628aec207,10300100005247434efffe0101003001,,Nintendo LZ10,Probable,,True,Nintendo LZ10,Confirmed,True,304,True,304,799e5c987d32b9cf7e96002ac84fae053b935850cb909a05c4c37bcc4ee0766a,NCGR graphics,Confirmed,False,False
/resource/kor/battle_graphic/batt_obj.narc,/resource/kor/battle_graphic/batt_obj.narc!/member_00175,0,/resource/kor/battle_graphic/batt_obj.narc,426,175,,57496,57720,55212,55436,224,9de8494b34ba0865d5663211598489748b0705855ff997dd6f0e8c7d72eba284,10300100005247434efffe0101003001,,Nintendo LZ10,Probable,,True,Nintendo LZ10,Confirmed,True,304,True,304,f4d168b4ab92c87441e3b3483bf66641faa76dbc4db5fd766626a54e53eeb3a4,NCGR graphics,Confirmed,False,False
/resource/kor/battle_graphic/batt_obj.narc,/resource/kor/battle_graphic/batt_obj.narc!/member_00176,0,/resource/kor/battle_graphic/batt_obj.narc,426,176,,57720,57948,55436,55664,228,02362bba782aa9853cda8bb384ec52fce18fc7e2913742083ec940f2733564d2,10300100005247434efffe0101003001,,Nintendo LZ10,Probable,,True,Nintendo LZ10,Confirmed,True,304,True,304,826b0ee4ac06c296d6bedaed7fcc9ba17864d671cbdb75369c3b08b5cf034b44,NCGR graphics,Confirmed,False,False
/resource/kor/battle_graphic/batt_obj.narc,/resource/kor/battle_graphic/batt_obj.narc!/member_00177,0,/resource/kor/battle_graphic/batt_obj.narc,426,177,,57948,58112,55664,55828,164,a65f5e4844907d8d50298f5158385cae306626b19e7cb02752f4de8605e56472,10300100005247434efffe0101003001,,Nintendo LZ10,Probable,,True,Nintendo LZ10,Confirmed,True,304,True,304,cdca8e8ab262bb7584f0f7f8dcd3225257a14243cb2f3811a42e9eaa27b433f1,NCGR graphics,Confirmed,False,False
/resource/kor/battle_graphic/batt_obj.narc,/resource/kor/battle_graphic/batt_obj.narc!/member_00178,0,/resource/kor/battle_graphic/batt_obj.narc,426,178,,58112,58192,55828,55908,80,f5a605d2d2e8f49904c9151b4d9e11992e1fd161807949ccbb8721d2b5a8fa03,10610000005245434efffe0001006100,,Nintendo LZ10,Probable,,True,Nintendo LZ10,Confirmed,True,97,True,97,50551eed5cf24a6e468c1cf0906edc4bdfabcb8f321aac3ac83b1deaf625c96c,NCER cell,Confirmed,False,False
/resource/kor/battle_graphic/batt_obj.narc,/resource/kor/battle_graphic/batt_obj.narc!/member_00179,0,/resource/kor/battle_graphic/batt_obj.narc,426,179,,58192,58284,55908,56000,92,56cebe0323cfe1115a7c3041be0f8cf0bd9fe9ae15fa7999766cda2df6367f33,106f000000524e414efffe0001006f00,,Nintendo LZ10,Probable,,True,Nintendo LZ10,Confirmed,True,111,True,111,30249884bd91f10bc9d4e13e7b1495f09991b6f488405a0cdbb61cfb402d10ca,NANR animation,Confirmed,False,False
/resource/kor/battle_graphic/batt_obj.narc,/resource/kor/battle_graphic/batt_obj.narc!/member_00180,0,/resource/kor/battle_graphic/batt_obj.narc,426,180,,58284,58484,56000,56200,200,31142b45b9ca300b230f3d904e93574088bed28a28b100c311dbfbc875055238,10300100005247434efffe0001003001,,Nintendo LZ10,Probable,,True,Nintendo LZ10,Confirmed,True,304,True,304,e29d35c3d866acca77e026e04b1988721f17fe5c326d71646845e79ee39d3c20,NCGR graphics,Confirmed,False,False
/resource/kor/battle_graphic/batt_obj.narc,/resource/kor/battle_graphic/batt_obj.narc!/member_00181,0,/resource/kor/battle_graphic/batt_obj.narc,426,181,,58484,58672,56200,56388,188,92a2795438fbc1b7c2de65bf68dbf860b629ab29a9acf086a05f0ce2e7464cf5,10300100005247434efffe0001003001,,Nintendo LZ10,Probable,,True,Nintendo LZ10,Confirmed,True,304,True,304,8c519fbfce0346df733b09633a5050c60c08548777a933af4a086302220ce819,NCGR graphics,Confirmed,False,False
/resource/kor/battle_graphic/batt_obj.narc,/resource/kor/battle_graphic/batt_obj.narc!/member_00182,0,/resource/kor/battle_graphic/batt_obj.narc,426,182,,58672,58868,56388,56584,196,2219a78cc661534dd8d77dd17aaed58705fe217fcfad7d2c7b77dce27784dca6,10300100005247434efffe0001003001,,Nintendo LZ10,Probable,,True,Nintendo LZ10,Confirmed,True,304,True,304,ec09af8142e1a47f89e372efd86304bec1292c8bb5893c5b4218b03ed1fe7d16,NCGR graphics,Confirmed,False,False
/resource/kor/battle_graphic/batt_obj.narc,/resource/kor/battle_graphic/batt_obj.narc!/member_00183,0,/resource/kor/battle_graphic/batt_obj.narc,426,183,,58868,59540,56584,57256,672,686de8b9535454776d0afe8382d263bcf65268a95d739e4d5f4007fa2950ce29,10b00600005247434efffe000100b006,,Nintendo LZ10,Probable,,True,Nintendo LZ10,Confirmed,True,1712,True,1712,2e41236707105ad1ac764a22dd9f2c34757f1e71ae8808e3f673f48197cd3ef1,NCGR graphics,Confirmed,False,False
/resource/kor/battle_graphic/batt_obj.narc,/resource/kor/battle_graphic/batt_obj.narc!/member_00184,0,/resource/kor/battle_graphic/batt_obj.narc,426,184,,59540,59716,57256,57432,176,9a6397c43162a0b5540109f6a9a51d2a8c301ea841a0583fc12df3186caf008d,103e0100005245434efffe0001003e01,,Nintendo LZ10,Probable,,True,Nintendo LZ10,Confirmed,True,318,True,318,1dcc8d5598bd2b21bb12a5086443f9b2853fc77b35f0bb95040b6ee2ce68061f,NCER cell,Confirmed,False,False
/resource/kor/battle_graphic/batt_obj.narc,/resource/kor/battle_graphic/batt_obj.narc!/member_00185,0,/resource/kor/battle_graphic/batt_obj.narc,426,185,,59716,59876,57432,57592,160,0486bb8595f348cdd81d0c45ba6f3fccb2efd34fa38fe2bd05b845fe841653f7,10ee000000524e414efffe000100ee00,,Nintendo LZ10,Probable,,True,Nintendo LZ10,Confirmed,True,238,True,238,add1ab28195df418e265a304ffc1a4bd5b78df7c3882a1c0d5c031dd3c0b3783,NANR animation,Confirmed,False,False
/resource/kor/battle_graphic/batt_obj.narc,/resource/kor/battle_graphic/batt_obj.narc!/member_00186,0,/resource/kor/battle_graphic/batt_obj.narc,426,186,,59876,59968,57592,57684,92,9e7c51376ac016b3b01b73c014f6fa1e5205dd8cfbbe2096d4f5c6949a89470b,10b00000005247434efffe000100b000,,Nintendo LZ10,Probable,,True,Nintendo LZ10,Confirmed,True,176,True,176,6c8abefebef3a5266cf5422778f8036db2fe72d98c41223cd2cdd519431d6d76,NCGR graphics,Confirmed,False,False
/resource/kor/battle_graphic/batt_obj.narc,/resource/kor/battle_graphic/batt_obj.narc!/member_00187,0,/resource/kor/battle_graphic/batt_obj.narc,426,187,,59968,60108,57684,57824,140,7ffcf6cdf64d9b8d97776325df064a379a4623667ca2352548f86f7cef7fdab8,10d80000005245434efffe000100d800,,Nintendo LZ10,Probable,,True,Nintendo LZ10,Confirmed,True,216,True,216,fbffb2d898d9023dbc4d79bc1cd56049f25b8fcd3f5abca35c526c242263789c,NCER cell,Confirmed,False,False
/resource/kor/battle_graphic/batt_obj.narc,/resource/kor/battle_graphic/batt_obj.narc!/member_00188,0,/resource/kor/battle_graphic/batt_obj.narc,426,188,,60108,60328,57824,58044,220,ecdf76d5d1ed6c1d45811bcb4fbd1381e82bb4fea36b600adabca4c458731dd6,10a0010000524e414efffe000100a001,,Nintendo LZ10,Probable,,True,Nintendo LZ10,Confirmed,True,416,True,416,921355637995a8c99f2472839d2ceff2f1fe3c067fe0f1b92f454dfb329b5c5a,NANR animation,Confirmed,False,False
