container_chain,depth,parent_narc_path,parent_file_id,rom_offset,size,sha256,bom,version,declared_file_size,header_size,block_count,member_count,named_member_count,validation
/application/balloon/graphic/balloon_gra.narc,0,/application/balloon/graphic/balloon_gra.narc,122,95834624,303008,128959a12885782631c1e47a9f96f1edb4480e944559f7d39f52c630b1dbefab,0xfffe,0x0100,303008,16,3,59,0,valid
/application/bucket/ballslow_data.narc,0,/application/bucket/ballslow_data.narc,123,96266752,420,1a5f793e0d663dcd8378ee1741b5c8f97fb2f718f2afdf1c008a35d9e68815d4,0xfffe,0x0100,420,16,3,1,0,valid
/application/custom_ball/data/cb_data.narc,0,/application/custom_ball/data/cb_data.narc,124,93135360,60812,4b25ee9d91e977fcbf4be1cab7d2ba15cfb6d58983d5ef5ebeaca137409506a1,0xfffe,0x0100,60812,16,3,295,0,valid
/application/custom_ball/edit/pl_cb_data.narc,0,/application/custom_ball/edit/pl_cb_data.narc,125,95723520,3132,f4e4742692bc6bc281907126d4fa5c4f16006b7a832dd75207cb52ba08fbdf5d,0xfffe,0x0100,3132,16,3,1,0,valid
/application/wifi_earth/wifi_earth.narc,0,/application/wifi_earth/wifi_earth.narc,126,92979200,152180,a529c990a715b9599316abf4049a14a23b4c18a019b69a41b2630fb921460ff6,0xfffe,0x0100,152180,16,3,8,0,valid
/application/wifi_earth/wifi_earth_place.narc,0,/application/wifi_earth/wifi_earth_place.narc,127,93131776,3272,067806345d96ce91f3cd76aaafddf4b6a915c512499fbf61f49e0368a59c7e84,0xfffe,0x0100,3272,16,3,19,0,valid
/application/wifi_lobby/map_conv/wflby_map.narc,0,/application/wifi_lobby/map_conv/wflby_map.narc,128,96137728,17040,5fefe70c66946659c32a8d48fcfa9fd8f1bed083f1bc5dd32b189c12b8eb85fc,0xfffe,0x0100,17040,16,3,26,0,valid
/application/zukanlist/zkn_data/zukan_data.narc,0,/application/zukanlist/zkn_data/zukan_data.narc,129,92933120,22660,0dd48591665b8cefffcd4185a1167bc7f7563abffb3056459f38bd1f420cc601,0xfffe,0x0100,22660,16,3,58,0,valid
/application/zukanlist/zkn_data/zukan_data_gira.narc,0,/application/zukanlist/zkn_data/zukan_data_gira.narc,130,92956160,22664,9c9fc1304a92510571df6990f7175f3a8e1dfe751ed440c65b20283e5bfa6cf8,0xfffe,0x0100,22664,16,3,58,0,valid
/application/zukanlist/zkn_data/zukan_enc_diamond.narc,0,/application/zukanlist/zkn_data/zukan_enc_diamond.narc,131,95452672,71456,b4262a3faaf64a1d3f535fb31a652a4731c8c4c3356a8eb1d27f9808904984d1,0xfffe,0x0100,71456,16,3,4954,0,valid
