file_id,path,start,end,size
242,data/smptm_nemuri.NCGR,5886464,5887024,560
243,data/smptm_nemuri.NCLR,5887488,5888040,552
244,data/str2uni.bin,5888512,5893344,4832
245,data/t3_fl_b.nsbtx,5893632,5894224,592
246,data/t3_fl_p.nsbtx,5894656,5895248,592
247,data/t3_fl_r.nsbtx,5895680,5896272,592
248,data/t3_fl_y.nsbtx,5896704,5897296,592
249,data/test.atr,5897728,5899776,2048
250,data/tmap_block.dat,5899776,5904148,4372
251,data/tmap_flags.dat,5904384,5905116,732
252,data/tmapn_canm.resdat,5905408,5905556,148
253,data/tmapn_celact.cldat,5905920,5906112,192
254,data/tmapn_celact.txt,5906432,5906700,268
255,data/tmapn_cell.resdat,5906944,5907092,148
256,data/tmapn_chr.resdat,5907456,5907604,148
257,data/tmapn_pal.resdat,5907968,5908044,76
258,data/tmapn_res_canm.txt,5908480,5908650,170
259,data/tmapn_res_cell.txt,5908992,5909178,186
260,data/tmapn_res_chr.txt,5909504,5909724,220
261,data/tmapn_res_pal.txt,5910016,5910165,149
262,data/tradelist.narc,5910528,5921396,10868
263,data/trapmark.narc,5921792,5922404,612
264,data/tw_arc_etc.naix,5922816,5924301,1485
265,data/tw_arc_etc.narc,5924352,5946840,22488
266,data/ug_anim.narc,5946880,5970560,23680
267,data/ug_base_cur.nsbmd,5970944,5972628,1684
268,data/ug_boygirl.NCGR,5972992,5977648,4656
269,data/ug_boygirl.NCLR,5978112,5978664,552
270,data/ug_fossil.narc,5979136,5995224,16088
271,data/ug_hero.NANR,5995520,5995769,249
272,data/ug_hero.NCER,5996032,5996297,265
273,data/ug_hole.NANR,5996544,5996758,214
274,data/ug_hole.NCER,5997056,5997218,162
275,data/ug_hole.NCGR,5997568,5998896,1328
276,data/ug_parts.narc,5999104,6132124,133020
277,data/ug_radar.narc,6132224,6146664,14440
278,data/ug_trap.narc,6147072,6268844,121772
279,data/ugeffect_obj_graphic.narc,6268928,6288744,19816
280,data/uground_cell.resdat,6288896,6288972,76
281,data/uground_cellanm.resdat,6289408,6289484,76
282,data/uground_char.resdat,6289920,6289996,76
283,data/uground_char2.resdat,6290432,6290508,76
284,data/uground_clact.cldat,6290944,6291040,96
285,data/uground_pltt.resdat,6291456,6291508,52
286,data/uground_pltt2.resdat,6291968,6292020,52
287,data/ugroundeffect.naix,6292480,6293245,765
288,data/ugroundeffect.narc,6293504,6294116,612
289,data/underg_radar.narc,6294528,6336052,41524
290,data/UTF16.dat,4413952,4414442,490
291,data/utility.bin,6336512,7266364,929852
292,data/weather_sys.narc,7266816,7345136,78320
293,data/wifi.ncgr,7345152,7345728,576
294,data/wifip2pmatch.narc,7346176,7496804,150628
295,data/wm.ncgr,7497216,7497792,576
296,data/wm.nclr,7498240,7498792,552
297,data/mmodel/fldeff.narc,67532288,67853068,320780
298,data/mmodel/mmodel.narc,66065920,67531908,1465988
299,data/sound/pl_sound_data.sdat,14984192,22931200,7947008
300,data/sound/sound_data.sdat,7499264,14984032,7484768
301,debug/cb_edit/d_test.narc,95711744,95723488,11744
302,demo/egg/data/egg_data.narc,93196288,93207292,11004
303,demo/egg/data/particle/egg_demo_particle.narc,93207552,93217260,9708
304,demo/intro/intro.narc,95133696,95246316,112620
305,demo/intro/intro_tv.narc,95246336,95355524,109188
306,demo/shinka/data/particle/shinka_demo_particle.narc,95123968,95133332,9364
307,demo/syoujyou/syoujyou.narc,95355904,95395652,39748
308,dwc/utility.bin,101700608,102630460,929852
309,fielddata/areadata/area_data.narc,73246720,73247972,1252
310,fielddata/areadata/area_build_model/area_build.narc,73248256,73254724,6468
311,fielddata/areadata/area_build_model/areabm_texset.narc,73254912,74872760,1617848
312,fielddata/areadata/area_map_tex/map_tex_set.narc,74872832,76745516,1872684
313,fielddata/areadata/area_move_model/move_model_list.narc,76745728,76747160,1432
314,fielddata/build_model/build_model.narc,70971392,73226284,2254892
315,fielddata/build_model/build_model_matshp.dat,73226752,73233152,6400
316,fielddata/encountdata/d_enc_data.narc,70733312,70812420,79108
317,fielddata/encountdata/p_enc_data.narc,70812672,70891780,79108
318,fielddata/encountdata/pl_enc_data.narc,70892032,70971140,79108
319,fielddata/eventdata/zone_event.narc,70575104,70732904,157800
320,fielddata/land_data/land_data.narc,76747264,92873104,16125840
321,fielddata/mapmatrix/map_matrix.narc,73233408,73246460,13052
322,fielddata/maptable/mapname.bin,95081984,95091472,9488
323,fielddata/mm_list/move_model_list.narc,93217280,93217888,608
324,fielddata/script/scr_seq.narc,56525824,56830788,304964
325,fielddata/tornworld/tw_arc.narc,96155136,96162832,7696
326,fielddata/tornworld/tw_arc_attr.narc,96163328,96188052,24724
327,frontier/script/fr_script.narc,95727104,95769820,42716
328,graphic/btower.narc,56830976,56847864,16888
329,graphic/bucket.narc,56847872,57107568,259696
330,graphic/config_gra.narc,57107968,57108652,684
331,graphic/demo_trade.narc,57108992,57140504,31512
332,graphic/dendou_demo.narc,57140736,57142300,1564
333,graphic/dendou_pc.narc,57142784,57143452,668
334,graphic/ending.narc,57143808,58998752,1854944
335,graphic/ev_pokeselect.narc,58998784,59139364,140580
336,graphic/f_note_gra.narc,59139584,59150204,10620
337,graphic/field_board.narc,59150336,59193596,43260
338,graphic/field_encounteffect.narc,59193856,59458756,264900
339,graphic/fld_comact.narc,59459072,59459940,868
340,graphic/font.narc,59460096,60219936,759840
341,graphic/fontoam.narc,60220416,60221860,1444
342,graphic/footprint_board.narc,60221952,60258260,36308
343,graphic/hiden_effect.narc,60258304,60290580,32276
344,graphic/library_tv.narc,60291072,60544344,253272
345,graphic/lobby_news.narc,60544512,60608932,64420
346,graphic/mail_gra.narc,60609024,60715824,106800
347,graphic/menu_gra.narc,60716032,60735344,19312
348,graphic/mysign.narc,60735488,60739768,4280
349,graphic/ntag_gra.narc,60740096,60924016,183920
350,graphic/oekaki.narc,60924416,60929828,5412
351,graphic/opening.narc,60930048,60957628,27580
352,graphic/pl_font.narc,60957696,61717608,759912
353,graphic/pl_wifinote.narc,61718016,61763356,45340
354,graphic/pl_winframe.narc,61763584,61798628,35044
355,graphic/pmsi.narc,61798912,61811556,12644
356,graphic/poru_gra.narc,61811712,61838820,27108
357,graphic/poruact.narc,61838848,61844140,5292
358,graphic/porudemo.narc,61844480,61853292,8812
359,graphic/ranking.narc,61853696,61859016,5320
360,graphic/record.narc,61859328,61882304,22976
361,graphic/shop_gra.narc,61882368,61892976,10608
362,graphic/tmap_gra.narc,61893120,61978896,85776
363,graphic/unionobj2d_onlyfront.narc,61979136,61995084,15948
364,graphic/unionroom.narc,61995520,62000144,4624
365,graphic/waza_oshie_gra.narc,62000640,62012724,12084
366,graphic/wifi2dchar.narc,62012928,62834456,821528
367,graphic/wifi_lobby.narc,62834688,63646720,812032
368,graphic/wifi_lobby_other.narc,63646720,64010156,363436
369,graphic/wifi_unionobj.narc,64010240,64101476,91236
370,graphic/winframe.narc,64101888,64136932,35044
371,graphic/worldtimer.narc,64137216,64353828,216612
372,graphic/worldtrade.narc,64354304,64401108,46804
373,itemtool/itemdata/item_data.narc,64401408,64420908,19500
374,itemtool/itemdata/item_icon.narc,64421376,64821328,399952
375,itemtool/itemdata/nuts_data.narc,64821760,64823092,1332
376,itemtool/itemdata/pl_item_data.narc,64823296,64842972,19676
377,msgdata/msg.narc,25586176,27035232,1449056
378,msgdata/pl_msg.narc,22931456,25585804,2654348
379,msgdata/scenario/scr_msg.narc,27035648,27042396,6748
380,particledata/particledata.narc,92887552,92932792,45240
381,particledata/pl_etc/pl_etc_particle.narc,96267264,96288856,21592
382,particledata/pl_frontier/frontier_particle.narc,95770112,95834136,64024
383,particledata/pl_pokelist/pokelist_particle.narc,96188416,96194124,5708
384,pokeanime/pl_poke_anm.narc,93243904,93272404,28500
385,pokeanime/poke_anm.narc,93218304,93243716,25412
386,poketool/pl_pokezukan.narc,95093248,95094296,1048
387,poketool/pokezukan.narc,95091712,95092760,1048
388,poketool/shinzukan.narc,95094784,95095268,484
389,poketool/icongra/pl_poke_icon.narc,64843264,65428600,585336
390,poketool/icongra/poke_icon.narc,65428992,66006768,577776
391,poketool/personal/evo.narc,54472192,54498660,26468
392,poketool/personal/growtbl.narc,54498816,54502164,3348
393,poketool/personal/personal.narc,54419456,54445560,26104
394,poketool/personal/pl_growtbl.narc,54502400,54505748,3348
395,poketool/personal/pl_personal.narc,54445568,54472036,26468
396,poketool/personal/pms.narc,54505984,54507000,1016
397,poketool/personal/wotbl.narc,54507008,54526176,19168
398,poketool/poke_edit/pl_poke_data.narc,95667712,95711740,44028
399,poketool/pokeanm/pl_pokeanm.narc,95109632,95123524,13892
400,poketool/pokeanm/pokeanm.narc,95095296,95109188,13892
401,poketool/pokefoot/pokefoot.narc,66007040,66065644,58604
402,poketool/pokegra/dp_height.narc,27042816,27065924,23108
403,poketool/pokegra/dp_height_o.narc,27066368,27068052,1684
404,poketool/pokegra/height.narc,27068416,27091524,23108
405,poketool/pokegra/height_o.narc,27091968,27093892,1924
406,poketool/pokegra/otherpoke.narc,27094016,27984620,890604
407,poketool/pokegra/pl_otherpoke.narc,27984896,29006220,1021324
408,poketool/pokegra/pl_pokegra.narc,29006336,40785012,11778676
409,poketool/pokegra/poke_shadow.narc,40785408,40785964,556
410,poketool/pokegra/poke_shadow_ofx.narc,40786432,40786988,556
411,poketool/pokegra/poke_yofs.narc,40787456,40788012,556
412,poketool/pokegra/pokegra.narc,40788480,52567156,11778676
413,poketool/trainer/trdata.narc,54526464,54552500,26036
414,poketool/trainer/trpoke.narc,54552576,54581176,28600
415,poketool/trgra/trbgra.narc,52567552,52889180,321628
416,poketool/trgra/trfgra.narc,52889600,54419200,1529600
417,poketool/trmsg/trtbl.narc,54581248,54591296,10048
418,poketool/trmsg/trtblofs.narc,54591488,54593404,1916
419,poketool/waza/pl_waza_tbl.narc,56502272,56513628,11356
420,poketool/waza/waza_tbl.narc,56514048,56525404,11356
421,resource/kor/b_plist/b_plist_gra.narc,96289280,96363688,74408
422,resource/kor/b_plist/pl_b_plist_gra.narc,96364032,96438440,74408
423,resource/kor/bag/bag_gra.narc,96438784,96544372,105588
424,resource/kor/bag/pl_bag_gra.narc,96544768,96650356,105588
425,resource/kor/batt_rec/batt_rec_gra.narc,96650752,97247664,596912
426,resource/kor/battle_graphic/batt_obj.narc,97247744,97379396,131652
427,resource/kor/battle_graphic/pl_batt_obj.narc,97379840,97548928,169088
428,resource/kor/box/box.narc,97549312,97699492,150180
429,resource/kor/contest_graphic/contest_bg.narc,97699840,97780648,80808
430,resource/kor/contest_graphic/contest_obj.narc,97780736,97806020,25284
431,resource/kor/dress_up_graphic/imageclip.narc,97806336,98061872,255536
432,resource/kor/frontier_graphic/frontier_bg.narc,98062336,98892244,829908
433,resource/kor/frontier_graphic/frontier_obj.narc,98892288,98935200,42912
434,resource/kor/mysterycard/mystery.narc,98935296,98967980,32684
435,resource/kor/nameinput/namein.narc,98968064,98984152,16088
436,resource/kor/nutmixer/nutmixer.narc,98984448,99165428,180980
437,resource/kor/opening_demo/op_demo.narc,99165696,100366948,1201252
438,resource/kor/p_status/pl_pst_gra.narc,100367360,100494512,127152
439,resource/kor/p_status/pst_gra.narc,100494848,100622000,127152
440,resource/kor/pms_aikotoba/pms_aikotoba.narc,100622336,100623836,1500
