table_index,overlay_id,ram_address,ram_end,ram_size,bss_size,static_init_start,static_init_end,file_id,file_path,file_offset,file_size,file_sha256,compressed_size_field,flags,compression_flag
0,0,35462272,35462304,32,0,35462272,35462276,0,__unmapped__/file_00000,1082368,32,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,0,0,False
1,1,35462272,35462336,32,32,35462288,35462296,1,__unmapped__/file_00001,1082880,32,2d81fe39a37965f444dffb286cd3ceaec6fe6d4d026d9007c6fe939d01c6fe99,0,0,False
2,2,35462336,35462368,32,0,35462336,35462340,2,__unmapped__/file_00002,1083392,32,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,0,0,False
3,3,33523296,33523328,32,0,33523296,33523300,3,__unmapped__/file_00003,1083904,32,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,0,0,False
4,4,35462272,35784448,300672,21504,35745136,35745140,4,__unmapped__/file_00004,1084416,300672,8443bed845d34687d8bb816f1e339b5cf2417dc396c6a7c787ca7de3b5354802,0,0,False
5,5,35462272,35909696,201632,245792,35662864,35662868,5,__unmapped__/file_00005,1385472,201632,977f5060c231f6f1c77d2739a2613fbd7be78a13124c3582f51f3b7c8149f916,0,0,False
6,6,35909696,35956832,47104,32,35956568,35956572,6,__unmapped__/file_00006,1587200,47104,26760ca656fa3104eeca93168c75f828a1e9209433e669a85694642366d968a9,0,0,False
7,7,35956832,35980416,23552,32,35980128,35980132,7,__unmapped__/file_00007,1634304,23552,5347944e930e9ed6a93c30a746e4c1188eeed0ded08dff1b7e35dbc97d1b69e7,0,0,False
8,8,35956832,35976832,20000,0,35976764,35976768,8,__unmapped__/file_00008,1657856,20000,dc10455fe2e415e9a48e3338aa8838453e3eb88c4b4a170597b7cabc26bc40df,0,0,False
9,9,35956832,35998688,41856,0,35998192,35998196,9,__unmapped__/file_00009,1678336,41856,c1631aa9c0e3575bfe38a279528d60806367ba469a98784c1a9e8d61d4c37757,0,0,False
10,10,35784448,35799424,14976,0,35799420,35799424,10,__unmapped__/file_00010,1720320,14976,cc29ed1d194a2c3009e1e60c93b07ae3741a6ffb85b9a431738c39b567eb87db,0,0,False
11,11,35784448,35785504,1056,0,35785496,35785500,11,__unmapped__/file_00011,1735680,1056,7ba94ddd13a16ab3b3ec42cd219ebfe4b4ad76937d011fee844698ba4c9c165d,0,0,False
12,12,35785504,35897408,111904,0,35897344,35897348,12,__unmapped__/file_00012,1737216,111904,9ce9dd6d7e1fc34c36452e5e9be7d5002b65d49bf6b7a320286bf790af1dfc4d,0,0,False
13,13,35785504,35827008,41504,0,35826976,35826980,13,__unmapped__/file_00013,1849344,41504,6810602ea407dd8652f5c9cc4347f3f8461ef5545124bfb5e2cca76509d479af,0,0,False
14,14,35785504,35848064,62560,0,35848032,35848036,14,__unmapped__/file_00014,1891328,62560,bbced2151ce4ec03d054260fed64a733f03f2912d832269ca1c8adc726bec203,0,0,False
15,15,35462272,35462304,32,0,35462272,35462276,15,__unmapped__/file_00015,1954304,32,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,0,0,False
