directory_id,path,parent_id_raw,subtable_offset,first_file_id
61440,/,105,840,122
61441,/application,61440,1024,122
61442,/application/balloon,61441,1096,122
61443,/application/balloon/graphic,61442,1107,122
61444,/application/bucket,61441,1125,123
61445,/application/custom_ball,61441,1145,124
61446,/application/custom_ball/data,61445,1160,124
61447,/application/custom_ball/edit,61445,1174,125
61448,/application/wifi_earth,61441,1191,126
61449,/application/wifi_lobby,61441,1230,128
61450,/application/wifi_lobby/map_conv,61449,1242,128
61451,/application/zukanlist,61441,1258,129
61452,/application/zukanlist/zkn_data,61451,1270,129
61453,/arc,61440,1376,134
61454,/battle,61440,1599,148
61455,/battle/b_pl_stage,61454,1662,148
61456,/battle/b_pl_tower,61454,1677,149
61457,/battle/b_tower,61454,1706,151
61458,/battle/graphic,61454,1729,153
61459,/battle/skill,61454,1774,156
61460,/battle/tr_ai,61454,1814,159
61461,/contest,61440,1830,160
61462,/contest/data,61461,1838,160
61463,/data,61440,1857,161
61464,/data/mmodel,61463,4066,297
61465,/data/sound,61463,4091,299
61466,/debug,61440,4127,301
61467,/debug/cb_edit,61466,4138,301
61468,/demo,61440,4151,302
61469,/demo/egg,61468,4186,302
61470,/demo/egg/data,61469,4194,302
61471,/demo/egg/data/particle,61470,4220,303
61472,/demo/intro,61468,4244,304
61473,/demo/shinka,61468,4270,306
61474,/demo/shinka/data,61473,4278,306
61475,/demo/shinka/data/particle,61474,4290,306
61476,/demo/syoujyou,61468,4317,307
61477,/dwc,61440,4332,308
61478,/fielddata,61440,4345,309
61479,/fielddata/areadata,61478,4463,309
61480,/fielddata/areadata/area_build_model,61479,4531,310
61481,/fielddata/areadata/area_map_tex,61479,4567,312
61482,/fielddata/areadata/area_move_model,61479,4585,313
61483,/fielddata/build_model,61478,4607,314
61484,/fielddata/encountdata,61478,4648,316
61485,/fielddata/eventdata,61478,4698,319
61486,/fielddata/land_data,61478,4715,320
61487,/fielddata/mapmatrix,61478,4731,321
61488,/fielddata/maptable,61478,4748,322
61489,/fielddata/mm_list,61478,4761,323
61490,/fielddata/script,61478,4783,324
61491,/fielddata/tornworld,61478,4797,325
61492,/frontier,61440,4827,327
61493,/frontier/script,61492,4837,327
61494,/graphic,61440,4853,328
61495,/itemtool,61440,5551,373
61496,/itemtool/itemdata,61495,5563,373
61497,/msgdata,61440,5627,377
61498,/msgdata/scenario,61497,5660,379
61499,/particledata,61440,5674,380
61500,/particledata/pl_etc,61499,5730,381
61501,/particledata/pl_frontier,61499,5752,382
61502,/particledata/pl_pokelist,61499,5776,383
61503,/pokeanime,61440,5800,384
61504,/poketool,61440,5832,386
61505,/poketool/icongra,61504,5978,389
61506,/poketool/personal,61504,6012,391
61507,/poketool/poke_edit,61504,6102,398
61508,/poketool/pokeanm,61504,6121,399
61509,/poketool/pokefoot,61504,6151,401
61510,/poketool/pokegra,61504,6166,402
61511,/poketool/trainer,61504,6340,413
61512,/poketool/trgra,61504,6365,415
61513,/poketool/trmsg,61504,6390,417
61514,/poketool/waza,61504,6416,419
61515,/resource,61440,6448,421
61516,/resource/kor,61515,6455,421
61517,/resource/kor/b_plist,61516,6775,421
61518,/resource/kor/bag,61516,6813,423
61519,/resource/kor/batt_rec,61516,6843,425
61520,/resource/kor/battle_graphic,61516,6862,426
61521,/resource/kor/box,61516,6894,428
61522,/resource/kor/contest_graphic,61516,6904,429
61523,/resource/kor/dress_up_graphic,61516,6938,431
61524,/resource/kor/frontier_graphic,61516,6954,432
61525,/resource/kor/mysterycard,61516,6990,434
61526,/resource/kor/nameinput,61516,7004,435
61527,/resource/kor/nutmixer,61516,7017,436
61528,/resource/kor/opening_demo,61516,7032,437
61529,/resource/kor/p_status,61516,7046,438
61530,/resource/kor/pms_aikotoba,61516,7076,440
61531,/resource/kor/pokelist,61516,7095,441
61532,/resource/kor/pokemon_trade,61516,7129,443
61533,/resource/kor/poketch,61516,7145,444
61534,/resource/kor/scratch,61516,7159,445
61535,/resource/kor/slot,61516,7173,446
61536,/resource/kor/title,61516,7184,447
61537,/resource/kor/touch_subwindow,61516,7200,448
61538,/resource/kor/trainer_case,61516,7222,449
61539,/resource/kor/vs_demo,61516,7241,450
61540,/resource/kor/wifi_lobby_minigame,61516,7259,451
61541,/resource/kor/zukan,61516,7277,452
61542,/wazaeffect,61440,7289,453
61543,/wazaeffect/effectclact,61542,7336,455
61544,/wazaeffect/effectdata,61542,7388,459
